Shape_Length,Shape_Area,Unit,UnitDesc,SphArea_km,OBJECTID,SUM_SphArea_km
10049685.296979013830423,445024568530.859863281250000,lApc,Late Amazonian polar cap unit,103642.3046875,28,700535.492187500000000
1357599.463038977701217,32149475884.369995117187500,Hpe,Hesperian polar edifice unit,15347.0664062,21,259771.810546875000000
2575992.856960929464549,70409820154.907226562500000,Hp,Hesperian polar unit,33723.5976562,20,1221562.593750000000000
674079.764185942825861,11911634072.838083267211914,Hpe,Hesperian polar edifice unit,6217.3408203,21,259771.810546875000000
4154932.948509291745722,165281389114.770416259765625,Hp,Hesperian polar unit,83363.6718750,20,1221562.593750000000000
910453.881879704073071,18826877850.558116912841797,Hpe,Hesperian polar edifice unit,9915.8183594,21,259771.810546875000000
2309327.049725284799933,64334570682.459495544433594,lNh,Late Noachian highland unit,34697.7265625,37,8419068.689208984375000
1491148.650745639344677,34488038930.181304931640625,lNh,Late Noachian highland unit,19008.6914062,37,8419068.689208984375000
1006005.597201375872828,29066902651.076953887939453,Hpe,Hesperian polar edifice unit,16943.9687500,21,259771.810546875000000
2566495.656565125100315,83450711656.120498657226562,mNh,Middle Noachian highland unit,47859.3046875,40,32313488.187866210937500
452640.568287135683931,11023333321.591571807861328,AHi,Amazonian and Hesperian impact unit,6751.5043945,2,7913061.843505859375000
585099.479053880088031,17114265586.215890884399414,Hpe,Hesperian polar edifice unit,10591.5351562,21,259771.810546875000000
459881.003883830388077,10194301236.117294311523438,Hp,Hesperian polar unit,6358.5654297,20,1221562.593750000000000
447719.429729804629460,10454986709.001756668090820,AHi,Amazonian and Hesperian impact unit,6605.3583984,2,7913061.843505859375000
4639710.770950647071004,405810507803.760314941406250,Ap,Amazonian polar unit,221101.3125000,6,221101.312500000000000
1792701.867735414300114,160845777229.347015380859375,AHi,Amazonian and Hesperian impact unit,94741.0703125,2,7913061.843505859375000
423686.797776344581507,9507897598.126218795776367,Hp,Hesperian polar unit,6189.0205078,20,1221562.593750000000000
576266.250567096634768,15890152074.076698303222656,AHi,Amazonian and Hesperian impact unit,10291.5009766,2,7913061.843505859375000
3251004.426004040054977,197439990895.198730468750000,Hp,Hesperian polar unit,119888.5468750,20,1221562.593750000000000
1569990.397738890722394,55491871402.030044555664062,mNh,Middle Noachian highland unit,35493.1328125,40,32313488.187866210937500
31535359.636021006852388,3320687002695.684570312500000,Apu,Amazonian polar undivided unit,1495812.1250000,7,2005395.642578125000000
724375.270090739009902,20975012076.467910766601562,AHi,Amazonian and Hesperian impact unit,13960.7851562,2,7913061.843505859375000
